%  1 - Time
%  2 - Pitch angle rate goal
%  3 - Pitch angle goal
%  4 - Altitude rate goal
%  5 - Altitude goal
%  6 - Pitch angle rate
%  7 - Pitch angle
%  8 - Altitude rate
%  9 - Altitude
% 10 - Elevator deflection

% Weight Factors

% Pitch Angle Rate Weight Factor         = 500
% Pitch Angle Weight Factor              = 0
% Altitude Rate Weight Factor            = 1e-008
% Altitude Weight Factor                 = 0.005
% Landing Pitch Angle Rate Weight Factor = 0
% Landing Pitch Angle Weight Factor      = 200
% Landing Altitude Rate Weight Factor    = 0.0005
% Landing Altitude Weight Factor         = 0.5
% Elevator Weight Factor                 = 10

0 0 0 -20 100 0 -0.0390625 -10 100 -0.610865
0.02 0 0 -19.9202 99.6008 0.0288412 -0.0387735 -9.9998 99.8 -0.610865
0.0481359 0 0 -19.8084 99.0419 0.0688169 -0.037398 -9.99727 99.5187 -0.610865
0.0762706 0 0 -19.6972 98.4862 0.108081 -0.0349078 -9.98922 99.2375 -0.610865
0.104407 0 0 -19.5867 97.9335 0.146627 -0.0313228 -9.97255 98.9566 -0.610865
0.13255 0 0 -19.4768 97.3838 0.184451 -0.0266623 -9.94425 98.6764 -0.610865
0.160704 0 0 -19.3674 96.837 0.221548 -0.0209453 -9.90136 98.397 -0.610865
0.188873 0 0 -19.2586 96.293 0.257915 -0.0141907 -9.84104 98.1189 -0.610865
0.21706 0 0 -19.1503 95.7517 0.293547 -0.00641674 -9.7605 97.8425 -0.610865
0.24527 0 0 -19.0426 95.213 0.328442 0.00235828 -9.65702 97.5686 -0.610865
0.273507 0 0 -18.9354 94.6768 0.362595 0.0121165 -9.52796 97.2977 -0.610865
0.301775 0 0 -18.8286 94.143 0.396005 0.0228402 -9.37072 97.0305 -0.610865
0.330077 0 0 -18.7223 93.6116 0.428667 0.034512 -9.18279 96.7679 -0.610865
0.358417 0 0 -18.6165 93.0826 0.460581 0.0471146 -8.96169 96.5107 -0.610865
0.386799 0 0 -18.5111 92.5557 0.491743 0.060631 -8.70501 96.2599 -0.610865
0.415227 0 0 -18.4062 92.0309 0.522152 0.0750444 -8.4104 96.0165 -0.610865
0.443705 0 0 -18.3017 91.5083 0.551806 0.0903382 -8.07553 95.7817 -0.610865
0.472236 0 0 -18.1975 90.9876 0.580703 0.106496 -7.69815 95.5566 -0.610865
0.500824 0 0 -18.0938 90.4688 0.608842 0.123501 -7.27604 95.3424 -0.610865
0.529472 0 0 -17.9904 89.952 0.636223 0.141338 -6.80703 95.1406 -0.610865
0.558186 0 0 -17.8874 89.4369 0.662844 0.15999 -6.28897 94.9524 -0.610865
0.586968 0 0 -17.7847 88.9235 0.688706 0.179442 -5.71978 94.7795 -0.610865
0.615822 0 0 -17.6824 88.4118 0.713807 0.199678 -5.09739 94.6233 -0.610865
0.644753 0 0 -17.5803 87.9017 0.738147 0.220683 -4.41978 94.4855 -0.610865
0.673764 0 0 -17.4786 87.3932 0.761728 0.242442 -3.68496 94.3678 -0.610865
0.702859 0 0 -17.3772 86.8861 0.784549 0.264939 -2.89097 94.272 -0.610865
0.732043 0 0 -17.2761 86.3805 0.80661 0.288159 -2.03586 94.2 -0.610865
0.76132 0 0 -17.1752 85.8762 0.827914 0.312088 -1.11774 94.1537 -0.610865
0.790694 0 0 -17.0746 85.3731 0.84846 0.33671 -0.134724 94.1351 -0.610865
0.820169 0 0 -16.9743 84.8713 0.86825 0.362013 0.915059 94.1465 -0.610865
0.84975 0 0 -16.8741 84.3707 0.887286 0.38798 2.03345 94.1899 -0.610865
0.879442 0 0 -16.7742 83.8712 0.905568 0.414599 3.22227 94.2678 -0.610865
0.90925 0 0 -16.6745 83.3726 0.9231 0.441855 4.48334 94.3824 -0.610865
0.939178 0 0 -16.575 82.8751 0.939883 0.469735 5.81846 94.5364 -0.610865
0.969231 0 0 -16.4757 82.3785 0.955919 0.498224 7.22942 94.7323 -0.610865
0.999416 0 0 -16.3765 81.8826 0.97121 0.527311 8.718 94.9728 -0.610865
1.00504 0 0 -16.3581 81.7906 0.973971 0.532783 9.00343 95.0227 -0.610865
1.01414 0 0 -16.3284 81.6418 0.978378 0.541668 9.47051 95.1067 -0.610865
