1 151.935 151.935 149.488 130.16 111.348 93.8875 78.2109 
5 151.935 151.935 138.412 117.245 97.2889 79.3302 66.9124 
10 151.935 151.935 133.286 111.405 91.0782 73.035 66.9124 
50 151.935 144.943 120.622 97.3491 76.49 66.9124 66.9124 
100 151.935 140.102 114.875 91.139 70.2027 66.9124 66.9124 
500 151.935 128.049 100.982 76.5513 66.9124 66.9124 66.9124 
1000 151.014 122.533 94.8179 70.2639 66.9124 66.9124 66.9124 
5000 140.113 109.077 80.2738 66.9124 66.9124 66.9124 66.9124 
10000 135.058 103.05 73.9772 66.9124 66.9124 66.9124 66.9124 
50000 122.545 88.6884 66.9124 66.9124 66.9124 66.9124 66.9124 
100000 116.853 82.4079 66.9124 66.9124 66.9124 66.9124 66.9124 
