% Yield (g): 16667.8
% Batch time (h): 54
%
% 1 - Time
% 2 - Cell mass concentration (g/l)
% 3 - Substrate concentration (g/l)
% 4 - Product concentration (g/l)
% 5 - Broth volume (l)
% 6 - Specific growth rate
% 7 - Specific productivity
% 8 - Feed rate -control- (g/l)

20.6077 11.3752 38.4218 56.413 45.9941 0.0896363 0.552645 2.88831
21.2173 11.559 36.5029 58.0757 47.7753 0.0875982 0.545229 2.95465
21.8226 11.7371 34.6462 59.7066 49.5835 0.0856835 0.538108 3.02034
22.4246 11.9101 32.8434 61.3102 51.4215 0.0838773 0.531245 3.08549
23.0237 12.0787 31.0897 62.8878 53.2892 0.082169 0.524618 3.15014
23.6191 12.2429 29.3834 64.4389 55.1839 0.0805517 0.518212 3.2142
24.2094 12.4026 27.7252 65.9606 57.1 0.079021 0.512023 3.27753
24.7924 12.5576 26.1179 67.448 59.0291 0.0775749 0.506055 3.33989
25.3653 12.7074 24.5661 68.8952 60.9597 0.0762123 0.500316 3.40096
25.9247 12.8515 23.0749 70.2949 62.8789 0.0749331 0.494814 3.46041
26.4674 12.9894 21.6497 71.6407 64.7727 0.0737367 0.489559 3.51792
26.9907 13.1206 20.2945 72.9267 66.6282 0.0726215 0.484555 3.57319
27.4925 13.245 19.0117 74.1492 68.4343 0.0715849 0.479801 3.62602
27.9714 13.3623 17.8019 75.3062 70.1827 0.0706229 0.475289 3.67629
28.4268 13.4728 16.6639 76.3977 71.8678 0.0697305 0.471006 3.72396
28.8588 13.5765 15.5954 77.425 73.4865 0.0689023 0.466934 3.76906
29.2663 13.6736 14.5972 78.3863 75.031 0.0681357 0.46307 3.81148
29.6505 13.7643 13.6645 79.2857 76.5031 0.0674242 0.45939 3.85137
30.0128 13.8491 12.7925 80.1272 77.9051 0.0667619 0.455871 3.88889
30.3545 13.9285 11.9768 80.9147 79.2401 0.0661432 0.452491 3.9242
30.677 14.0029 11.2132 81.6519 80.5108 0.0655634 0.449229 3.95745
30.9814 14.0726 10.498 82.3422 81.7201 0.0650179 0.446066 3.98876
31.2688 14.1379 9.82764 82.9886 82.8711 0.064503 0.442984 4.01827
31.5405 14.1992 9.19907 83.5942 83.9664 0.0640151 0.439966 4.04611
31.7973 14.2567 8.60937 84.1615 85.009 0.0635508 0.436996 4.07238
32.0403 14.3107 8.0559 84.6931 86.0015 0.0631073 0.434059 4.09718
32.2703 14.3614 7.53623 85.1912 86.9465 0.0626817 0.43114 4.12062
32.4881 14.409 7.04811 85.6579 87.8465 0.0622716 0.428223 4.14279
32.6946 14.4538 6.58945 86.0953 88.704 0.0618745 0.425295 4.16376
32.8904 14.4959 6.15835 86.5051 89.5213 0.061488 0.422342 4.18363
33.0763 14.5354 5.75298 86.8892 90.3008 0.06111 0.419347 4.20247
33.253 14.5727 5.37166 87.2491 91.0448 0.0607382 0.416297 4.22034
33.421 14.6077 5.01282 87.5863 91.7555 0.0603704 0.413175 4.23732
33.5811 14.6407 4.67494 87.9024 92.4351 0.0600044 0.409965 4.25348
33.7338 14.6718 4.35659 88.1986 93.0858 0.059638 0.406648 4.26887
33.8798 14.7011 4.0564 88.4763 93.71 0.0592686 0.403205 4.28357
34.0196 14.7287 3.773 88.7369 94.31 0.0588936 0.399612 4.29763
34.154 14.7549 3.50502 88.9815 94.8884 0.0585099 0.395843 4.31114
